DATE,TMAX,TMIN,PRCP
2010-01-01,128,28,126
2010-01-02,129,2,0
2010-01-03,154,43,123
2010-01-04,127,32,525
2010-01-05,116,29,0
2010-01-06,134,31,0
2010-01-07,126,16,1576
2010-01-08,128,41,940
2010-01-09,98,12,0
2010-01-10,69,22,0
2010-01-11,91,23,0
2010-01-12,157,15,0
2010-01-13,153,40,42
2010-01-14,138,46,505
2010-01-15,121,51,155
2010-01-16,171,26,0
2010-01-17,157,67,239
2010-01-18,174,37,0
2010-01-19,120,4,0
2010-01-20,141,45,0
2010-01-21,139,54,0
2010-01-22,157,29,0
2010-01-23,98,69,0
2010-01-24,141,57,0
2010-01-25,141,70,0
2010-01-26,130,52,0
2010-01-27,134,44,58
2010-01-28,115,20,0
2010-01-29,169,54,0
2010-01-30,81,37,0
2010-01-31,188,50,0
2010-02-01,129,45,0
2010-02-02,170,63,0
2010-02-03,199,38,347
2010-02-04,175,91,0
2010-02-05,141,79,0
2010-02-06,177,81,0
2010-02-07,159,29,196
2010-02-08,212,60,0
2010-02-09,166,41,1052
2010-02-10,166,54,0
2010-02-11,196,72,0
2010-02-12,178,75,0
2010-02-13,155,100,0
2010-02-14,168,85,0
2010-02-15,168,78,0
2010-02-16,147,45,0
2010-02-17,176,73,0
2010-02-18,149,57,37
2010-02-19,153,55,0
2010-02-20,173,61,553
2010-02-21,171,78,0
2010-02-22,143,59,0
2010-02-23,175,58,282
2010-02-24,146,81,0
2010-02-25,139,21,258
2010-02-26,147,107,105
2010-02-27,149,81,144
2010-02-28,199,65,0
2010-03-01,169,74,0
2010-03-02,211,32,0
2010-03-03,187,69,0
2010-03-04,186,100,238
2010-03-05,201,80,0
2010-03-06,157,88,0
2010-03-07,215,83,0
2010-03-08,196,98,0
2010-03-09,158,74,0
2010-03-10,218,96,0
2010-03-11,197,79,0
2010-03-12,203,95,0
2010-03-13,182,77,1105
2010-03-14,192,118,0
2010-03-15,164,106,0
2010-03-16,209,89,0
2010-03-17,197,115,0
2010-03-18,190,113,0
2010-03-19,222,107,0
2010-03-20,209,99,154
2010-03-21,247,83,0
2010-03-22,191,110,0
2010-03-23,193,76,0
2010-03-24,202,102,0
2010-03-25,194,133,0
2010-03-26,214,113,403
2010-03-27,202,134,0
2010-03-28,219,136,335
2010-03-29,250,88,275
2010-03-30,210,112,0
2010-03-31,199,100,0
2010-04-01,188,106,39
2010-04-02,255,85,0
2010-04-03,232,93,0
2010-04-04,232,129,0
2010-04-05,232,80,0
2010-04-06,224,134,0
2010-04-07,230,79,0
2010-04-08,211,113,0
2010-04-09,268,81,0
2010-04-10,228,121,0
2010-04-11,196,165,0
2010-04-12,256,98,0
2010-04-13,230,118,0
2010-04-14,239,117,0
2010-04-15,209,133,0
2010-04-16,231,135,0
2010-04-17,208,167,0
2010-04-18,226,161,0
2010-04-19,264,131,0
2010-04-20,284,170,0
2010-04-21,255,132,0
2010-04-22,200,150,0
2010-04-23,214,123,0
2010-04-24,222,132,0
